time,dipole
1.419999999999972751e+01,1.662413717236770783e+00
1.422499999999972609e+01,1.679871191364782135e+00
1.424999999999972466e+01,1.697407768995385258e+00
1.427499999999972324e+01,1.715025038606469376e+00
1.429999999999972182e+01,1.732723771420856096e+00
1.432499999999972040e+01,1.750503618718982413e+00
1.434999999999971898e+01,1.768362913619709653e+00
1.437499999999971756e+01,1.786299373231116761e+00
1.439999999999971614e+01,1.804311080548786528e+00
1.442499999999971472e+01,1.822396572400609482e+00
1.444999999999971330e+01,1.840554665896472430e+00
1.447499999999971187e+01,1.858784203938466772e+00
1.449999999999971045e+01,1.877085148036944151e+00
1.452499999999970903e+01,1.895460156280427189e+00
1.454999999999970761e+01,1.913914007443258569e+00
1.457499999999970619e+01,1.932453123701301845e+00
1.459999999999970477e+01,1.951083022863498107e+00
1.462499999999970335e+01,1.969806079322093728e+00
1.464999999999970193e+01,1.988622840830550187e+00
1.467499999999970051e+01,2.007532769593659783e+00
1.469999999999969909e+01,2.026535007568110114e+00
1.472499999999969766e+01,2.045627972423049279e+00
1.474999999999969624e+01,2.064809353673711989e+00
1.477499999999969482e+01,2.084076057154558903e+00
1.479999999999969340e+01,2.103426507505548493e+00
1.482499999999969198e+01,2.122861034001910063e+00
1.484999999999969056e+01,2.142381300222917506e+00
1.487499999999968914e+01,2.161989087880595850e+00
1.489999999999968772e+01,2.181685850656834180e+00
1.492499999999968630e+01,2.201473483908890749e+00
1.494999999999968487e+01,2.221355043098356852e+00
1.497499999999968345e+01,2.241334169351921535e+00
1.499999999999968203e+01,2.261415182483631714e+00
1.502499999999968061e+01,2.279785854908940479e+00
1.504999999999967919e+01,2.300533626033023360e+00
1.507499999999967777e+01,2.321398380031415520e+00
1.509999999999967635e+01,2.342364378971853789e+00
1.512499999999967493e+01,2.363430026911077064e+00
1.514999999999967351e+01,2.384596077758366128e+00
1.517499999999967208e+01,2.405862834198075006e+00
1.519999999999967066e+01,2.427230019997612676e+00
1.522499999999966924e+01,2.448696980386590116e+00
1.524999999999966782e+01,2.470263407419672319e+00
1.527499999999966640e+01,2.491928898389847546e+00
1.529999999999966498e+01,2.513694581326406663e+00
1.532499999999966356e+01,2.535562282196170969e+00
1.534999999999966214e+01,2.557534151881200923e+00
1.537499999999966072e+01,2.579613481412561526e+00
1.539999999999965929e+01,2.601804722677016013e+00
1.542499999999965787e+01,2.624111905827408275e+00
1.544999999999965645e+01,2.646538396339221499e+00
1.547499999999965503e+01,2.669085273542871395e+00
1.549999999999965361e+01,2.691750577777085152e+00
1.552499999999965219e+01,2.714530525835765040e+00
1.554999999999965077e+01,2.737420032440021078e+00
1.557499999999964935e+01,2.760414198217163051e+00
1.559999999999964793e+01,2.783508637795800933e+00
1.562499999999964650e+01,2.806700369588170485e+00
1.564999999999964508e+01,2.829986986211465272e+00
1.567499999999964366e+01,2.853367230482253269e+00
1.569999999999964224e+01,2.876840215563107428e+00
1.572499999999964082e+01,2.900404078646605210e+00
1.574999999999963940e+01,2.924055287282268711e+00
1.577499999999963798e+01,2.947790660093121851e+00
1.579999999999963656e+01,2.971608545883154040e+00
1.582499999999963514e+01,2.995509077276648391e+00
1.584999999999963372e+01,3.019493069131305774e+00
1.587499999999963229e+01,3.043560704571091513e+00
1.589999999999963087e+01,3.067711740311710233e+00
1.592499999999962945e+01,3.091944800316278830e+00
